Year,Jurisdiction,All students,Average scale score
2015,National,All students,240
2013,National,All students,242
2011,National,All students,241
2009,National,All students,240
2007,National,All students,240
2005,National,All students,238
2003,National,All students,235
2000,National,All students,226
2000_,National,All students,228
1996,National,All students,224
1996_,National,All students,224
1992_,National,All students,220
1990_,National,All students,213
,,,
,,,
,,,
,,,
